,text,label
0,Z2 0xPolygon Grant Budget for 0xEVE,neutral
1,Delegate Grant Eligibility,neutral
2,Temperature Check Protocol Fee Experiment,neutral
3,Temperature Check Move forward with traderxyz grant,neutral
4,0x的项目matcha应该发币么,neutral
5,Should 0x team develop a cross chain bridge to support cross swap,neutral
6,Resume of default protocol fees to enable staking again,neutral
7,Temperature Checks Process and Requirements,neutral
8,2 Temperature Checks Process and Requirements,neutral
9,Temperature Check Grant for Messari Quarterly Reporting,bearish
10,Snapshot Voting Privacy Setting,neutral
11,Evolving payments through 0x Ecosystem,neutral
12,Support for onchain Governance development,bullish
13,ZEIP96  Metatransactions and Multiplex Upgrades,bearish
14,Governance Reactivate Inactive Voting Power,neutral
15,Reinstate staking,neutral
16,Governance Delegate Compensation Experiment,neutral
17,Temperature Check  GRANT REQUEST Boardroom to build 0x Protocols Governance Portal,neutral
18,Temperature Check  GRANT REQUEST ZeroEx Pathways ZRX PATH,neutral
19,0xPolygon Grant Process and 20 fund transfer to multisig,neutral
20,Temperature Check  GRANT REQUEST 0x Community Subgraph,bullish
21,Temperature Check  GRANT REQUEST pZEIP BundleSwapFeature 31Third,bearish
22,Temperature Check  GRANT REQUEST pZEIP2 Batch Multiplex Feature RigoBlock,neutral
23,Temperature Check  GRANT REQUEST Universal Limit Order API,neutral
24,Temperature Check  GRANT REQUEST pZEIP1_M2 BundleSwapFeature 31Third,bullish
25,Give Delegate Joao authority to apply to OP Onchain builders on behalf of ZRX protocol,neutral
26,Temperature Check  Optimistic Funding for 0x Improvement Proposals,neutral
27,Retroactive Airdrop For Proxy Contract Users eg 1Inch Dharma Matcha etc,bullish
28,Uniswap Temperature check  Should we increase the votingDelay,bearish
29,Liquidity mining continuation budget,neutral
30,Temp Check Should Uniswap Distribute UNI to Liquidity Providers,neutral
31,Consensus Check Should Uniswap Distribute UNI to Liquidity Providers,neutral
32,Temp Check Fund UNI Grants Program,neutral
33,Can UGP increase their Q2 budget to 15M,neutral
34,Deploy Uniswap v3 on Arbitrum,neutral
35,Funding a Political Defense of DeFi,neutral
36,Should Uniswap lower the proposal submission threshold,neutral
37,Managing Systemic Risk in Uniswaps Community Treasury using KPI Options,neutral
38,Donate 50M worth of UNI to Chris Blec to leave DeFi for good,bullish
39,Consensus Check  Funding a Political Defense of DeFi,neutral
40,Temperature Check  Managing Systemic Risk in Uniswaps Community Treasury using KPI Options,neutral
41,Temperature Check Raise the proposal quorum threshold,neutral
42,Temp Check Larger Grant Construct  CEA  No Negative Net UNI,neutral
43,Consensus Check CommunityEnabled Analytics via YieldGenerating Investment Strategies,neutral
44,Consensus Check Raise the proposal quorum threshold,neutral
45,Temperature Check  Allocate 15M UNI to GoEthereum longterm TalentAcquisition  Retention Grant GETHTARG,neutral
46,Create a CAPITAL PROTECTION Tool for v3,neutral
47,Should UGP be reinstated with existing funds,neutral
48,Proposal Removal of established cranial follicles fund,neutral
49,Consensus Check  ABOLISH Delegates and change the UNI Governance Voting System,neutral
50,Temperature Check  Merge the Uniswap Grant Program into Uniswap DAO Governance,neutral
51,Turning on the fee switch for V2,neutral
52,Consensus Check  Create Uniswap Volume KPI Options to help divest Uniswaps Community Treasury into Stablecoins,neutral
53,Temperature Check Upgrade Governance Contract to Governor Bravo,neutral
54,Begin Uniswap Liquidity Program v01,neutral
55,Consensus Check Upgrade Governance Contract to Governor Bravo,neutral
56,Temperature Check Support oneUNI Stablecoin,neutral
57,Should we deploy Uniswap V3 on AVAX,neutral
58,Should the DEF move its assets to a custodial wallet viewable on chain,neutral
59,Consensus Check  Add 1 Basis Point Fee Tier,neutral
60,Temperature Check  Should Uniswap incentivize Liquidity on Optimism and Arbitrum,neutral
61,Temperature Check  Should Uniswap incentivize liquidity on Arbitrum and Optimism,neutral
62,Should Uniswap v3 be deployed to Polygon,neutral
63,Is uniswap supported to accelerate layer2,neutral
64,Consensus Check  Should Uniswap v3 be deployed to Polygon,neutral
65,Consensus check  Should Uniswap incentivize liquidity on Optimism and Arbitrum,neutral
66,Temperature CheckSupport izumi Finance as Uniswap V3 official partner of Liquidity Mining Platform,neutral
67,Temperature Check  Should Uniswap Provide Voltz with v3 Additional Use Grant,bearish
68,Consensus Check   Should Uniswap Provide Voltz with v3 Additional Use Grant,neutral
69,Temperature Check  Deploy Uniswap V3 on Harmony through an Additional Use Grant to Hermes DeFi,neutral
70,How should Uniswap community support Adopt unicorn on unicode proposal,bearish
71,Funding the Fee Switch Activation,neutral
72,Should Uniswap governance contribute funding to the Nomic Foundation,bearish
73,Consensus Check  Should Uniswap governance contribute funding to the Nomic Foundation,neutral
74,Should we deploy Uniswap V3 on Celo,neutral
75,Consensus Check Should we deploy Uniswap V3 on Celo,neutral
76,Temp Check  Should Uniswap add the 1bp fee tier to Polygon,neutral
77,Consensus Check  Should Uniswap add the 1bp fee tier to Polygon,bullish
78,Temperature Check  Should Uniswap v3 be deployed to Gnosis Chain,neutral
79,Temperature Check Deploy Uniswap V3 on Moonbeam,neutral
80,Consensus Check Deploy Uniswap V3 on Moonbeam,neutral
81,Consensus Check Should Uniswap v3 be deployed to Gnosis Chain,neutral
82,Temperature Check Should the Uniswap community participate in the Protocol Guild Pilot,neutral
83,Consensus Check  Enable 1bp Fee Tier on UniswapV3 OptimismL2,neutral
84,Should Uniswap provide Rage Trade with an additional use grant,bullish
85,Temp Check Fee switch activation for ETHUSDC  USDCUSDT,neutral
86,Consensus Check Fee switch Pilot for Three Pairs,neutral
87,Temperature Check Create the Uniswap Foundation,neutral
88,Consensus Check Create the Uniswap Foundation,neutral
89,Should we deploy Uniswap v3 on Aurora,bearish
90,Temperature Check Deploy Uniswap V3 to zkSync,neutral
91,Consensus Check Deploy Uniswap V3 to zkSync,neutral
92,OptimismUniswap Protocol LM Program Structure,neutral
93,OptimismUniswap Protocol LM Program Pool selection,neutral
94,Temperature Check Deploy Uniswap V3 to Boba Network,neutral
95,Consensus Check Deploy Uniswap V3 to Boba Network,neutral
96,Temperature Check Fix the Cross Chain Messaging Bridge on Arbitrum,neutral
97,Consensus Check Fix the Cross Chain Messaging Bridge on Arbitrum,neutral
98,Temperature Check Deploy Uniswap V3 on Scroll testnet,neutral
99,Community Governance Process Changes,neutral
100,OptimismUniswap LM Program Update to Incentivized Pools,neutral
101,OptimismUniswap LM Program Update to LM Managers,neutral
102,Temperature Check Should Uniswap v3 be deployed to BNB Chain ,neutral
103,Temperature Check Which bridge should Uniswap v3 use for crosschain governance messaging between Ethereum and BNB Chain,neutral
104,Temperature Check Enable 1bp Fee Tier for UniswapV3 on Arbitrum,neutral
105,Uniswap DAO can help 80K UNI to Turkey to relief after the big earthquake disaster,neutral
106,Consensus Check  Uniswap helps t,neutral
107,Consensus check Uniswap DAO can help 80K UNI to Turkey to relief after the big earthquake disaster,neutral
108,Temperature Check Create Accoutability Committee,neutral
109,Temperature Check Deploy Uniswap v3 on Avalanche,neutral
110,Temperature Check Deploy Uniswap v3 onto Kava EVM Network,neutral
111,Temperature Check Deploy Uniswap V3 on Gnosis Chain,neutral
112,Uniswap V3 Launch on zkEVM,neutral
113,Temperature Check PostBSL crosschain deployment process and creation of new uniswapeth subdomain,neutral
114,Temperature Check Deploy Uniswap v3 on Moonbeam 2023,neutral
115,Making Protocol Fees Operational Fee options for V3,neutral
116,Making Protocol Fees Operational Initial deployment chain,neutral
117,Making Protocol Fees Operational Asset to be held in the treasury,neutral
118,Deploy UniswapV3 on Linea,neutral
119,Temperature Check Deploy Uniswap v3 on Base,neutral
120,Temperature Check Deploy Uniswap v3 on Filecoin Virtual Machine FVM,neutral
121,Temperature Check Deploy Uniswap v3 on Fantom,neutral
122,ARB Distribution Proposal Poll,neutral
123,Temperature Check Migrate the Celo Uniswap V3 Factory Contract owner from Optics to Wormhole,neutral
124,Temperature Check Deploy Uniswap V3 on Scroll,bearish
125,Temperature Check  Deploy Uniswap V2 on all chains with V3,neutral
126,Temperature Check Deploy Friendly Fork of Uniswap V3 ZERO Protocol on Polygon zkEVM,neutral
127,Temp Check Complete initial funding of the UF,neutral
128,UADP Team Election,neutral
129,UAGP Team Election,neutral
130,Temperature Check  Issue a Visa Card with Uniswap Logo ,neutral
131,Temperature Check Invest in Ekubo Protocol,neutral
132,Temperature Check Delegation of UNI to Active but Underrepresented Delegates,bullish
133,Temperature Check Competition of Delegation of UNI to Active but Underrepresented Delegates,neutral
134,Uniswap DAO Portal is Open all early registrants receive the Early Uni Role  will be included in the UNI snapshot,neutral
135,After a Successful DAO Vote Uniswap decided to Launch the Phase 1 of the gUNI Uniswap Gold Distribution,neutral
136,Uniswap DAO Portal is Open early registrants receive the Early Uni Role  will be included in the UNI snapshot,neutral
137,Temperature Check Deploy Uniswap v3 on Rootstock Bitcoin Sidechain,neutral
138,Temperature Check Lower Onchain Proposal Threshold,neutral
139,Uniswap Deployments Accountability Committee Competition,neutral
140,Temp Uni Onboarding Package  Scroll,neutral
141,Temp Uni Onboarding Package  Polygon zkEVM,neutral
142,Temp Uni Onboarding Package  zkSync,neutral
143,Temp Uni Onboarding Package  Blast,neutral
144,Temp Uni Onboarding Package  Linea,neutral
145,Temp Uni Onboarding Package  Base,neutral
146,Temp Uni Onboarding Package  Taiko,neutral
147,Temp Uni Onboarding Package  Moonbeam,neutral
148,Temp Uni Onboarding Package  BSC,neutral
149,Temp Uni Onboarding Package  Mantle,neutral
150,Temp Check Deploy Uniswap v3 on Zora,neutral
151,Activate Uniswap Protocol Governance,neutral
152,Uniswap V3 Fees Factory Owner Amendment,neutral
153,Temp Check Mobilizing the Uniswap Treasury,neutral
154,Temp Check Onboard Uniswap to Sei,neutral
155,Update Uni v3v2 Deployment Process March 2024,bearish
156,Temp Check Uniswap Onboarding Package  Manta,neutral
157,Uniswap Treasury Working Group UTWG Election,neutral
158,DeFi Education Fund Temp Check,neutral
159,DeFi Education Fund Temp Check Options,neutral
160,Temp Check Uniswap Delegate Reward 3 MonthsCycle 1,neutral
161,Temp Check Onboard Uniswap to Redstone,neutral
162,Uniswap Arbitrum LTIPP Matching,neutral
163,Temp Check Uniswap Onboarding Package  Gnosis Chain,neutral
164,Venus is now on Snapshot,neutral
165,UI Rebrand Contest,neutral
166,Logo Competition Vote,neutral
167,VIP52 VRT Swap  XVS Vesting,bullish
168,VIP54 Venus Grants Program,neutral
169,Hedgey Treasury  Tokenomics Advisor Addition,neutral
170,Venus Ambassador Program Proposal,neutral
171,Content marketing services proposal by Hackwriter,neutral
172,Benzinga  Venus Reach Campaign,neutral
173,Venus x Second Live Uniform Design Contest,neutral
174,Suspend Q2 XVS Burn,bullish
175,AutoFarm Refund and New Collaboration with Venus,neutral
176,Proposal Gauntlet Market Risk Management,neutral
177,Venus Tokenomics Upgrade v30 Proposal,neutral
178,Commission Quarterly Research Reports with Messari Protocol Services,neutral
179,Proposal XVS Emission Reduction,neutral
180,Proposal Venus v4 Upgrade,neutral
181,Mission Back to Venus Campaign 5  Arabic YouTube Video Winner Selection,neutral
182,Mission Back to Venus Campaign 5  Chinese YouTube Video Winner Selection,neutral
183,Mission Back to Venus Campaign 5  English YouTube Video Winner Selection,neutral
184,Mission Back to Venus Campaign 5  French YouTube Video Winner Selection,neutral
185,Mission Back to Venus Campaign 5  Spanish YouTube Video Winner Selection,neutral
186,Risk Parameter Recommendations 20220111,neutral
187,Engage with Steakhouse Financial to support Venus in its pursuit of RealWorld Assets RWAs,bullish
188,Deploy the VAI PEG Stability module and Supply Liquidity to PancakeSwap for the VAIUSDT Pair,bullish
189,Start the risk assessment and implementation of Credix proposal,neutral
190,Deploy a new inapp swap fully owned by Venus,neutral
191,Update to Venus Protocol Tokenomics 31,bullish
192,OpenZeppelin Security Partnership,bullish
193,Adding RedStone Oracles to the Venus Oracle Interface,neutral
194,Contract Chaos Labs Risk Management services,neutral
195,Add an Isolated lending market for THE on Venus  to scale a XVSankrBNB liquidity pool on THENA,neutral
196,Deploy Venus Protocol on Polygon zkEVM,neutral
197,Changing the interest rate parameters for VAI,bullish
198,Deploy Venus Protocol on Arbitrum,neutral
199,XVS Emission Reduction 3,neutral
200,BUSD Deprecation  Forced Liquidation Mechanism,neutral
201,Venus Upgrade  Omnichain Money Markets with LayerZero Integration,neutral
202,Integrate VAI stablecoin for payments on UQUID,neutral
203,Grant Proposal for VRTUHubcom,neutral
204,Proposal to list Planet on Venus,neutral
205,Proposal Messari Protocol Services Quarterly Research Renewal,neutral
206,Deploy Venus Protocol on Ethereum Mainnet,neutral
207,Support FDUSD Market on Venus Core Pool,neutral
208,Enable MoveDebtDelegate for BTC and ETH Shortfall Account,neutral
209,Development Team Expense Reimbursement,neutral
210,Proposal Support wstETH as collateral on Venus on ETH Mainnet,neutral
211,Proposal Adjustments to Venus Prime,neutral
212,Proposal Deploy Venus Protocol on opBNB,neutral
213,Move Bad Debt from the current debtors to the BNB bridge exploiter account to eliminate remaining shortfall,neutral
214,XVS Emissions Reduction Proposal 4,neutral
215,Join Cakepie as a bribery market participant,neutral
216,Quantstamp Retainer Proposal for Ongoing Audits,neutral
217,Venus internal Treasury Management Proposal,neutral
218,Isolated Lending Market for BABYDOGE on Venus,neutral
219,Venus Cantinaxyz Competition  Security,neutral
220,Gitcoin Grants Stack Partnership,neutral
221,List Frax Finance assets on Venus Ethereum Mainnet,neutral
222,XVS Ethereum Mainnet Development Program with Lido Frax Curve and Gitcoin,neutral
223,Support weETH collateral on Venus on ETH Mainnet,bullish
224,Integrating XVS as a Payment Option on Travalacom,bearish
225,Appoint Skynet Trading as Liquidity Manager for Native Venus Tokens,neutral
226,Prime Adjustment Proposal  Q2 2024,bullish
227,Support TUSD as collateral on Venus on ETH Mainnet,neutral
228,Support DAI as collateral on Venus on ETH Mainnet,neutral
229,Proposal CertiK Audit Subscription Agreement Renewal,neutral
230,H12024 Development Funding,neutral
231,Proposal List Pepe Market,neutral
232,Proposal Support Pendles LRT PT Tokens as collateral on Venus Protocol,neutral
233,XVS  USD price feed enabling Venus launch on Arbiturm Ethereum XVS feed maintenance and enhancing ResilientOracle module,neutral
234,ETH Mainnet Emission Adjustment,neutral
235,Funding request to maintain Venus subgraphs on The Graph Network,neutral
236,Deploy Venus Protocol on OKX X Layer,neutral
237,Support rsETH as collateral on Venus on Ethereum Mainnet,neutral
238,Proposal for Deployment of Venus Protocols on BounceBit Chain to Support BBTC and BBUSD,neutral
239,Incentive Model Proposal for Arbitrum Deployment,neutral
240,Proposal for Revision of Venus Protocol Tokenomics V4,neutral
241,Venus Prime Deployment Proposal for Ethereum Mainnet,neutral
242,Support ezETH as collateral on Venus Protocol,neutral
243,Launch the Vanguard Vantage Program,neutral
244,Add support for sUSDe on Venus Protocol Ethereum Core Pool,neutral
245,BNB Chain Prime Adjustment Proposal,neutral
246,Proposal Deploy Venus Protocol on ZKsync Era,neutral
247,Proposal  Enhancing Security and Trust with ChainPatrol,neutral
248,Proposal Liquidity Management budget Increase XVSBNB,neutral
249,Proposal Emissions Adjustments for ETH Mainnet,neutral
250,BIP 40 Grants Round 3,neutral
251,MEME x 0xB1 NFT Comp Round 2,bearish
252,BIP 41 Inaugural Badger Cetedel Product  Badger BTC Bridge Rewards,bearish
253,BIP 42 Contribution from Treasury to Badger Pool on Pooltogether,neutral
254,BIP 43 Purchasing Badgercom,neutral
255,BIP 44 Integrating bwbtcBadgerSLP  bwbtcBadgerUNIV2,neutral
256,BIP 45 Pancakeswap bBadger and bDIGG incentives,neutral
257,BIP 47 Funds for Honeypot pt II,neutral
258,BIP 48 Treasury USDC Productivity,neutral
259,BIP 50 Add 0confirmation to BadgerDAO Annexe,neutral
260,BIP 51 Grants Month 4,bearish
261,BIP 49 Opolis Strategic Investment Negotiated Terms,neutral
262,BIP 52 wenCLAWS Token Design Contest,neutral
263,BIP 53 DIGG for Rebase Options Redemption Pool,neutral
264,BIP 54 Grants Month 5,neutral
265,BIP55 Grant TritiumVLK a budget of 3000 badger for Bounties,bearish
266,Repost BIP 53 DIGG for Rebase Options Redemption Pool,bearish
267,Repost BIP 54 Grants Month 5,bearish
268,BIP 57 Emissions WBTC Sett incentives Launch Boost for new products fix 100 DIGG emissions to DIGG Setts,bearish
269,BIP 58 Emissions ibBTCWBTC SLP Sett incentives,neutral
270,BIP 59 Grants Round 6,neutral
271,BIP 61 Emissions for the transition period before Convex Setts Launch,neutral
272,BIP 60 Migrate Curve Setts to Convex Fee Changes,neutral
273,BIP 61 Emissions 12 Week Liquidity Mining Program,neutral
274,BIP 63 Badger Boost PowerUp,bullish
275,BIP 62 Deploy and Seed Rari Fuse Pool,bullish
276,BIP 65 Dogfooding Revenue into Setts,neutral
277,BIP 66 a Revise DIGG Emissions fund KPI Options Establish Treasury Controlled Liquidity for DIGG,neutral
278,BIP 66 b DIGG TCL Budgeting,neutral
279,BIP 67 Emissions Badger Locked CVX Sett,neutral
280,BIP 68 ibBTC Yield Retention Model,neutral
281,BIP 69 a Emissions Q4 schedule,bullish
282,BIP 69 b Emissions Q4 DIGG Setts,bullish
283,BIP 69 c Emissions Q4 mStable,bullish
284,BIP 70 blCVX Badger emissions restructure prorata rewards,bullish
285,BIP 70  CVX pt II Locking  Delegation Incentives,neutral
286,BIP 71 bCVX to bveCVX transition,neutral
287,BIP 72 Sett Vaults and ibBTC Fee Restructuring,neutral
288,BADGERDIP 1 Pause Negative Rebasing,neutral
289,BIP 73 NFT Boost v1,neutral
290,BIP 74 Treasury Controlled Liquidity for Badger,bearish
291,BIP 75 Emissions migration to ibBTCsBTC Convex Sett,bearish
292,BIP 76 Upgrade Smart Contracts,neutral
293,BIP 77 Reactivate Contracts and Recover Funds,neutral
294,BIP 78 Return Recoverable Tokens,neutral
295,BIP 79 Restore Governance Tokens,neutral
296,BIP 81 Buy The Dip,neutral
297,BIP 82 a Emissions Q1 2022,bearish
298,BIP 82 b Emissions Q1 2022 mStable,bearish
299,BIP 83 Update bCVXCRV to lock CVX,neutral
300,BIP 80 a BADGER Allocation to Restitution Program,bearish
301,BIP 80 c  Full proposal agreement,bearish
302,BIP 80 b Yearly Reassessment,bearish
303,BIP 84 DIGG Boost Restoration,neutral
304,BIP 85 Add bveCVX and bveCVX LP as Native in Boost,neutral
305,BIP 87 bveCVX restructure,neutral
306,BIP 86 Change and ratify Badger Council Membership,bearish
307,BIP 88 Emissions Q2 2022,bearish
308,BIP 90 Make Every Badger Count,neutral
309,BIP 89 BadgerDAO Treasury Management Policy,neutral
310,BIP 92 Digg Restructuring,neutral
311,BIP 93  Council 20,neutral
312,BIP 94 Emissions Q3 2022,neutral
313,BIP 95  GraviAURA Regulations,neutral
314,BIP 96  zeroDAO Deal Restructure,neutral
315,BIP 97 Q42022  Q12023 Council Election,neutral
316,BIP 98 Restitution Badger Bridge Lost Funds,neutral
317,BIP 99 Badger Emissions Going Forward,neutral
318,BIP 100  Allocation of Unclaimed ibBTC Rewards,neutral
319,BIP 100  Allocation of Unclaimed ibBTC Rewards Take 2,neutral
320,BIP 101  Council Elections 2023Q3,neutral
321,BIP 102  Discontinue DIGG TCLLP,neutral
322,BIP 103a  Continue Restitution with 1 Million Newly Minted BADGER Tokens,neutral
323,BIP 103b  Continue Restitution Funded by the Treasury,neutral
324,BIP 103c  Mint 1 Million BADGER in Support of eBTC Roadmap,neutral
325,BIP 103d  Permit the Treasury Council to spend more than 10 of uncirculating supply without a BIP,neutral
326,BIP 103  Amendment 1  400k Vesting,neutral
327,BIP 103  Amendment 2  remBADGER Withdrawals,neutral
328,BIP 103  Amendment 3  Reinstate Andy,neutral
329,BIP 103  Amendment 4  Reinstate Pharos,neutral
330,BIP 103  Amendment 5  Full Restitution,neutral
331,BIP 103  Amendment 6  SteveBrew,neutral
332,BIP 104  Badger Grant Program,neutral
333,BIP 105  BADGER Treasury Controlled Liquidity TCL Reallocation to eBTC,neutral
334,BIP 106  2024Q3 Council Elections,bearish
335,AIP1 Proposing the DAO  Process,neutral
336,AIP2 Voting  Process,neutral
337,AIP3 Year 1 Budgets  Ecosystem Fund Allocation,neutral
338,AIP4 Staking  Process,neutral
339,AIP5 Staking Pool Allocation  Ecosystem Fund Allocation,neutral
340,AIP21 Staking Process with Caps 1x drop  Process,neutral
341,AIP22 Staking Pool Allocation Reloaded  Ecosystem Fund Allocation,neutral
342,AIP7 Restructuring the Forum Categories  Informational,neutral
343,AIP9 Boring Security  Ecosystem Fund Allocation,bearish
344,AIP29 APECoin DAO Proposal for Ape Drops Marketplace  Brand Decision,bullish
345,AIP36 Guy Oseary as ApeCoin Representative  Ecosystem Fund Allocation,bullish
346,AIP13 APE FOUNDATION Merch  Top Drawer  Ecosystem Fund Allocation,bearish
347,AIP41 Keep ApeCoin within the Ethereum ecosystem  Process,neutral
348,AIP66 ApeCoin Newsletter  Ecosystem Fund Allocation,neutral
349,AIP70 Bored Ape Gazette Ape Coin MediaBAYC News  Ecosystem Fund Allocation,neutral
350,AIP64 APE Coin Festival  Bringing NFT Communities Together  Brand Decision,neutral
351,AIP78 Ape Worlds  Create Apethemed games on the blockchain no code required,neutral
352,AIP89 Improved delegation experience  Process,bullish
353,AIP103 Ape Worlds Shooter Edition  Ecosystem Fund Allocation,neutral
354,AIP87 NFT  IP Marketplace  Yuga Labs  Otherside Partner NFT Collections  Ecosystem Fund Allocation,neutral
355,AIP93 A Marketplace for Apes by Apes built by Magic Eden  Brand Decision,neutral
356,AIP98 A CommunityFirst ApeCoin DAO Marketplace Proposal  Brand Decision,neutral
357,AIP113 Extending AIP1  the DAO Process  Process,neutral
358,AIP91 ApeTalent  Platform to connect talent within the Ape community  Ecosystem Fund Allocation,neutral
