,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,coin,proposal,proposal_type,initial_price,time_5_day,time_5_price,price_high,timestamp_high,percent_high,average_price,average_percent,sentiment_score,sentiment_boolean,summary,sentiment_new
3,9,9,9,2023-03-16 21:12:48+00:00,synapse,"Summary
We propose that Synapse should look to augment the current nUSD & nETH liquidity pools by using actively managed concentrated liquidity pools. To do so, the Synapse DAO should engage with liquidity partners who will provide locked, fixed term liquidity in pools that LPs are incentivized to actively rebalance when needed. We propose Nima Capital to be the first liquidity partner, providing $40m of actively managed stablecoin liquidity for a 12-month term.


Proposal
One month ago, Googly made a proposal highlighting the current inefficiencies of Synapse’s emissions and liquidity: https://forum.synapseprotocol.com/d/242-recalibrating-syn-emissions

SYN emissions currently inflate the circulating supply at 5.7%, or $12mm at the current price, per annum. Those emissions are directed towards nUSD pools, collectively home to ~$55m in TVL. While the distribution of emissions per pool is meant to direct liquidity towards pools with the highest utilization (and away from those with the lowest utilization), in practice, this has not materialized. Why? Markets are inefficient.

How can we fix this? We think the root of utilization disparity lies not with an inefficient distribution of incentives, but rather, with the lack of active, quantitatively driven liquidity rebalancing. 

Under the current stableswap AMM implementation, ~95% of the total liquidity is typically unutilized due to the nature of the AMM curve. 
 
 
 
 
![Picture1.png](ipfs://bafkreifsrpedrb5hxogvyuxwncrl7eddw5tjwgdeksnhpqxc2cfbbev4ta)
    
    
    
This means that the majority of SYN incentives are wasted as liquidity is only drawn upon in tail scenarios. By building actively managed concentrated liquidity, a-la-RFQ, we believe we can increase liquidity efficiency by 20-50x compared to current utilization & spreads. However, this requires controlled liquidity & active management, and, as a result, is not feasible under the current passive third-party liquidity provision model.

Therefore, our proposal is as follows:
1.	Nima Capital provides $40mm of twelve-month locked stablecoin liquidity. 
a.	This TVL will be programmatically rebalanced as required to tighten quotes on the most utilized pools. 
i.	We believe $40mm of actively managed stablecoin liquidity can be 20-50x more efficient than today’s $55mm in passive stablecoin liquidity.

2.	Nima Capital receives a SYN grant from the DAO via the Foundation of the currently planned stablecoin emissions and 33% of bridge & swap fees for the duration of the term, aligning a long-term capital partner with the DAO. 
a.	Note, this replaces SYN emissions and does not add to them. 
b.	We believe programmatic rebalancing will create a long-term structural advantage for Synapse DAO, resulting in increasing efficiency of liquidity, tightening quotes for users & reducing SYN inflation.

3.	Work alongside protocol contributors to build a new liquidity model which increases quote efficiency by an est. 20-50x. 


In summary, in return for Nima’s provision of locked TVL, we believe we can:
1.	Maintain the annual SYN inflation rate.
2.	Increase liquidity efficiencies through programmatic rebalancing & new liquidity models. 
3.	Tighten quotes on Synapse’s most utilized pools. 
4.	Remove the risk of liquidity reversions as a result of broader market conditions. 


About Nima Capital
Nima Capital is a single-family office with private and public equity investing platforms. The firm has a flexible mandate to invest across the capital structure, across investment stage, and in any industry vertical. 
Nima Capital’s liquid crypto team focuses on automating various DeFi functions such as on chain market making, just in time liquidity, node operations and mempool reliant trading. The firm has previously been one of the largest users of core protocols such as AAVE, Compound, Yearn, Convex and Canto among others.",bearish,1.042,2023-03-16 21:12:48+00:00,0.9867,0.9867,2023-03-17 00:00:00+00:00,5.30710172744721,1.06525,0.0223128598848368,0.9105737805366516,True," This text proposes an enhancement to Synapse's current nUSD & nETH liquidity pools by introducing actively managed concentrated liquidity pools. The author suggests engaging with liquidity partners like Nima Capital who will provide locked, fixed-term liquidity in rebalanced pools. The proposal includes a $40m stablecoin liquidity provision from Nima Capital for a 12-month term. The aim is to increase liquidity efficiency by up to 50x compared to the current passive model, leading to tighter quotes on utilized pools and potentially reducing SYN inflation. This partnership with Nima Capital aligns with the DAO's long-term goals and aims to maintain the annual SYN inflation rate while improving liquidity efficiencies and quote tightness.",bearish
6,17,17,17,2023-06-28 14:07:10+00:00,synapse,"**Overview:**

In a Snapshot in late march, the Synapse DAO voted to advance the protocol’s liquidity model by working with Nima Capital, an experienced crypto market maker, to be the first liquidity partner to participate in actively managed concentrated liquidity pools. Over the past few months, the firm has successfully reduced quotes on many crucial stableswap bridge routes [[Tweet]](https://twitter.com/SynapseProtocol/status/1651314704671703041). 

By active liquidity providers quoting tight prices, the DAO no longer needs to incentivize passive liquidity pools and can create a long term sustainable model for the protocol.  

Nearly two months after evaluating the success of the manual management, a more formalized path to turning off emissions on stableswap pools has been proposed. 

In the short term, Synapse should reduce all stableswap emissions by 50%, reduce Metis and Fantom emissions to zero , and decrease emissions on high volume pools proportionately less (Arbitrum/BNB Chain).

*The Metis Foundation has agreed to incentivize the Metis Pools with $15k worth of METIS for three months. *


**Proposed Changes:**

Arbitrum : 19958 -> 19958 
Avalnache : 20160 -> 4000
BNB Chain: 17338 -> 12000
Canto: 7999 -> 5000
Fantom: 15120 -> 0 
Metis: 11340 -> 0
Optimism: 7056 -> 7056
Polygon: 15120 -> 7560 

Current Weekly Total: 114,141 SYN
**Proposed Weekly Total: 55,574 SYN**


**Final thoughts:**

Given the clear benefits to reducing SYN emissions, this is the first step to pursuing a more capital efficient protocol. Following this there should be 
 - Better infrastructure for active liquidity providers to automate concentrated liquidity 
- Ensuing proposals that further reduce emissions


For more context: 
1) Active liquidity management partnership: https://forum.synapseprotocol.com/d/269-advancing-synapses-liquidity-model-reducing-syn-emissions
2) Protocol Emissions Reduction Discussion: https://forum.synapseprotocol.com/d/422-reducing-protocol-emissions
3) Re calibrating SYN emissions: https://forum.synapseprotocol.com/d/242-recalibrating-syn-emissions",bearish,0.6533,2023-06-28 14:07:10+00:00,0.6071,0.6071,2023-06-29 00:00:00+00:00,7.07178937700903,0.6705,0.0263278738711158,0.8408506512641907,True," The text discusses a decision by Synapse DAO to partner with Nima Capital for active liquidity management, aiming to reduce quotes on crucial stable swap bridge routes and create a sustainable long-term model. The proposal includes reducing emissions across various platforms, such as Arbitrum, Avalanche, BNB Chain, Canto, Fantom, Metis, Optimism, and Polygon. This move is seen as the first step towards a more capital-efficient protocol, with plans for better infrastructure for active liquidity providers and further emission reduction proposals in the future. The total weekly SYN emissions are proposed to be halved.",bearish
9,23,23,23,2024-01-08 16:56:18+00:00,synapse,"Background:
In July of 2023, the Synapse DAO voted to remove emissions on the Metis stableswap and ETH pool as part of a larger initiative to reduce SYN emissions. This proposal decreased SYN emissions from 11,340 SYN/month to 0. Simultaneously, the Metis Foundation agreed to incentivize the Metis Pools with $15k worth of METIS for three months.

Performance:
In the last six months, ~$19m has been bridged to Metis, generating around ~$15k worth of fees. The swap pools have done ~$38m over the same time period and $3.5k worth of fees. In the last month, a drastic increase of activity in the Metis ecosystem drove $14k in fees (500% increase).

Synapse is currently the largest bridge into the Metis ecosystem, and the Metis foundation is looking to create a lasting relationship with the protocol.

Proposal:
The Metis Foundation willing to commit to providing $7k/$10k worth of emissions on a monthly basis for the next 6 months. The Synapse DAO will spend $10k worth of SYN on Metis pools per month, with 70% of that subsidized by Metis.

In the last month, fees on Metis have been 14k, due to deep liquidity and support from the Metis foundation (who incentivized the pools for 6 months throughout 2023)

Objectives:
As part of this program, Metis is looking for low slippage on specific size swaps, and the ability to scale with increasing inflow to the chain from other L2s specifically. More reporting on these items will strengthen the relationship between the two protocols and can help the Synapse DAO to grow synergetically.

Synapse contributors will continue to work close with the Metis foundation to drive more data driven insights as well as usage through other campaigns.",bearish,0.4044,2024-01-08 16:56:18+00:00,0.3718,0.3718,2024-01-09 00:00:00+00:00,8.06132542037585,0.41415,0.0241097922848665,0.8698258399963379,True," The text discusses a partnership between Synapse DAO and the Metis Foundation aimed at reducing SYN emissions while incentivizing the Metis Pools. In the past six months, significant activity on Metis has generated substantial fees. The Metis Foundation is offering to provide $7k-$10k worth of emissions monthly for six months, with Synapse DAO spending $10k worth of SYN on Metis pools per month, 70% subsidized by Metis. This partnership aims to improve liquidity and scalability on Metis, particularly from other L2s, and strengthen the relationship between the two protocols for mutual growth.",bearish
15,35,35,35,2024-04-03 02:23:48+00:00,sushi,"Evolving Sushi - Burū no Shinka [Signal]

This proposal’s expectation is to produce a community signal. Full details and discussions thus far can be found at:

https://forum.sushi.com/discussion/16707-evolving-sushi-bur-no-shinka

Synopsis:

This proposal aims to significantly evolve Sushi by adopting a Labs model, thereby restructuring our current organization to enhance operational efficiency and accelerate protocol development. The empowerment and evolution of Sushi Labs, sponsored and supported by Sushi Dao, is envisioned to lead our venture into a new era of competitiveness in the decentralized finance space. This initiative will empower us with the agility to innovate and expand our product offerings, ultimately increasing the value and utility of the Sushi ecosystem for all Sushi holders.

Full proposal for the signal can be found at the following mirror url: https://mirror.xyz/%F0%9F%8D%A3%F0%9F%91%A8%E2%80%8D%F0%9F%8D%B3.eth/7lW1niphhpmwURtR2Q7vI6955UhO1Bdv7R2EnwOqDbA

TLDR:

We stand at an exciting and pivotal moment in Sushi’s history, with the opportunity to redefine our future and solidify Sushi as an industry leader. The Sushi DAO empowers Sushi Labs to maximize stakeholder value and ensure vibrant ecosystem growth by supporting this proposal.
We have listened to the community and thank them for their patience and continued involvement. We all look forward to the future of Sushi.",bearish,1.578,2024-04-03 02:23:48+00:00,1.48,1.48,2024-04-05 00:00:00+00:00,6.21039290240811,1.5655,-0.0079214195183776,0.9033656120300292,True," The text presents a proposal aimed at evolving Sushi by adopting a Labs model, enhancing operational efficiency, and accelerating protocol development. This change is envisioned to lead Sushi into a more competitive era in decentralized finance, with the potential to expand product offerings and increase ecosystem value for all Sushi holders. The community is encouraged to support this initiative, signifying a pivotal moment in Sushi's history and a step towards solidifying its position as an industry leader.",bearish
18,40,40,40,2024-04-03 02:25:36+00:00,sushi,"This proposal’s expectation is to produce an implementation. Full details and discussions thus far can be found at:

https://forum.sushi.com/discussion/16707-evolving-sushi-bur-no-shinka

Synopsis:

This proposal aims to significantly evolve Sushi by adopting a Labs model, thereby restructuring our current organization to enhance operational efficiency and accelerate protocol development. The empowerment and evolution of Sushi Labs, sponsored and supported by Sushi Dao, is envisioned to lead our venture into a new era of competitiveness in the decentralized finance space. This initiative will empower us with the agility to innovate and expand our product offerings, ultimately increasing the value and utility of the Sushi ecosystem for all Sushi holders.

Full proposal to be implemented can be found at the following mirror url: https://mirror.xyz/%F0%9F%8D%A3%F0%9F%91%A8%E2%80%8D%F0%9F%8D%B3.eth/7lW1niphhpmwURtR2Q7vI6955UhO1Bdv7R2EnwOqDbA

TLDR:

We stand at an exciting and pivotal moment in Sushi’s history, with the opportunity to redefine our future and solidify Sushi as an industry leader. The Sushi DAO empowers Sushi Labs to maximize stakeholder value and ensure vibrant ecosystem growth by supporting this proposal.
We have listened to the community and thank them for their patience and continued involvement. We all look forward to the future of Sushi.",bearish,1.578,2024-04-03 02:25:36+00:00,1.48,1.48,2024-04-05 00:00:00+00:00,6.21039290240811,1.5655,-0.0079214195183776,0.8652458786964417,True," This text discusses a proposal to evolve Sushi, a decentralized finance platform, by adopting a Labs model to improve operational efficiency and accelerate development. The aim is to make Sushi more competitive in the industry, increase product offerings, and enhance value for all Sushi holders. The Sushi DAO supports this initiative, positioning Sushi for future growth and leadership.",bearish
25,60,60,60,2023-07-20 03:04:34+00:00,sushi,"This proposal’s expectation is to produce a community signal. Full details and discussions thus far can be found at:

https://forum.sushi.com/t/legal-entity-update-proposed-changes/12059

Synopsis:

In 2022, the Sushi community mandated that the DAO pursue a legal entity structure to protect business liability. In April of last year, Tangle, a community member, presented the initial governance discussion proposing hiring the law firm Fenwick & West LLP to provide the legal guidance and services to purpose-build the appropriate entity. Throughout the process, it became evident that the model should expand and employ additional steps outside their proposed model. Suggested to the team was further legal advice to help shape the process further with Gresham International. Gresham is a leading international law firm with offices in the UK and UAE. They’ve worked with leading centralized exchange operators and DeFi projects. Gresham advised expanding the entity scope to help establish a more global presence for Sushi, which provides optionality for future business initiatives unavailable in the Fenwick model. Working closely with Gresham, we propose a new model subsidized from the remainder of the budgetary allocation for Fenwick’s work. The result will increase its liability protections for the DAO and contributors.

TLDR:

With Gresham, we’ll maintain business continuity, expand global compliance and liability protections and future-proof the Sushi DAO with a more robust model outside of the scope of Fenwick’s model.",bearish,0.738,2023-07-20 03:04:34+00:00,0.685,0.685,2023-07-22 00:00:00+00:00,7.181571815718139,0.707,-0.0420054200542005,0.8238049149513245,True," The text discusses a proposal to expand the legal entity structure for the Sushi DAO to protect business liabilities and increase its global presence. This expansion involves hiring Gresham International, an international law firm experienced in DeFi projects, to provide additional legal guidance beyond the initial proposed model by Fenwick & West LLP. The new model is expected to offer enhanced liability protections, broader compliance coverage, and future-proofing for the Sushi DAO.",bearish
33,82,82,82,2020-10-05 08:44:34+00:00,sushi,"The community has voted to keep the maximum total supply under 250M. 

Here’s a plan to reduce SUSHI/block gradually to reach 250M in 3 years.

1-Nov-20 Sushi/block = 80
1-dec-20 Sushi/block = 70
1-Jan-21 Sushi/block = 60
1-Feb-21 Sushi/block = 50
1-Mar-21 Sushi/block = 40
1-Apr-21 Sushi/block = 30
1-May-21 Sushi/block = 20
1-Jun-21 Sushi/block = 18.6
etc.

Full block schedule outlined in the picture

https://aws1.discourse-cdn.com/standard10/uploads/sushiswapclassic/original/1X/ef872ace4121da4267ba6cf3793bc98c6cd1797e.png

Discussion took place here : https://forum.sushiswapclassic.org/t/schedule-to-reduce-sushi-block-to-meet-250m-max-target/419",bearish,0.845,2020-10-05 08:44:34+00:00,0.626,0.626,2020-10-06 00:00:00+00:00,25.917159763313606,0.658,-0.2213017751479289,0.8146696090698242,True," The text indicates a decision to gradually reduce the total supply of SUSHI tokens to 250M over three years, as outlined in a schedule. This suggests a positive sentiment towards controlling token inflation and maintaining the value of the token.",bearish
39,106,106,106,2020-09-12 07:07:52+00:00,sushi,"We do need to rework inflation for $SUSHI.

Current proposals in the community with block reward decrease of 90-98% strongly damages APY for LP. As a result, a significant part of liquidity providers most likely will leave and with lower liquidity, we can't compete with other AMMs. 

Lowering inflation too early may lead to hazardous consequences for the ecosystem. Other proposals create imbalances between the interests of different groups of users of sushiswap and serve mostly whales with opportunistic aims. 

Three different groups of people use Sushiswap. Farmers, who provide liquidity. Holders of $SUSHI, who provide price and economics of $SUSHI. Casual traders, who seek high liquidity and pay fees. Without any of them, the ecosystem will die. Our proposal is intended to satisfy every party.

We propose to decrease block reward more slowly, however, to have less inflation on a distance:

The first month: 150 $SUSHI per block and $10mln buyback from funds received from @chefnomi to cover ""additional"" inflation.
The second month: 100 $SUSHI  per block and $4mln buyback.
For the next ten month: 80  $SUSHI per block.
Finally: 50  $SUSHI  per block for a second year.

With this plan, we will have much less inflation after one year as with 100 $SUSHI per block, and drop will be less damaging and slower. The buyback will compensate for inflation influence on price.
Any locking mechanism for newly minted tokens will lead to instant sells of unlocked part of the tokens.",bearish,2.629,2020-09-12 07:07:52+00:00,2.18,2.18,2020-09-13 00:00:00+00:00,17.07873716241916,2.3955,-0.0888170406998858,0.8009849190711975,True," The text expresses concern about the potential negative impact of a significant decrease in block reward on Sushiswap, specifically affecting liquidity providers and the overall ecosystem. It suggests a gradual reduction in block reward over time, accompanied by buybacks, to maintain balance among farmers, holders, and casual traders while minimizing inflation and its impact on token price. The sentiment is cautiously optimistic about the proposed plan to address these concerns.",bearish
41,112,112,112,2020-09-11 17:53:24+00:00,sushi,"I propose we get sushiswap integrated into infinity wallet for direct trading and liquidity providing within this unique and most advanced wallet.

It is one of the leading defi platforms for desktop with its new technology for scanning and would be great to have a wallet platform to directly interact with the uniswap protocol for swapping and liquidity providing and etc.

I talked to the team behind Infinity Wallet and they said they are always open to new integrations based on community interest so I think it would be a perfect opportunity and partnership for sushiswap directly within a wallet.

My proposal is 
- Sushi team reach out to Infinity Wallet guys.
- Do a 300k sushi for integration of sushi token and swapping in their platform and have a lock up period of 2 years vesting 50% upfront and further 25% + 25% over 2 years",bearish,2.711,2020-09-11 17:53:24+00:00,2.306,2.306,2020-09-12 00:00:00+00:00,14.93913684987089,2.479,-0.085577277757285,0.8826391696929932,True," The text suggests a proposal to integrate Sushiswap into Infinity Wallet for direct trading and liquidity provision. This is seen as an opportunity due to both platforms' advanced features and popularity in the DeFi space. The author believes that this partnership would be beneficial, with the Sushi team reaching out to Infinity Wallet for potential integration, offering a 300k Sushi token incentive for the integration, and agreeing on a 2-year vesting period for the tokens.",bearish
48,129,129,129,2020-09-12 17:48:30+00:00,sushi,We extend the day of reward until we have figure out another better plan,bearish,2.629,2020-09-12 17:48:30+00:00,2.18,2.18,2020-09-13 00:00:00+00:00,17.07873716241916,2.3955,-0.0888170406998858,0.8214073181152344,True, Prolonging the reward day as we work on a potential improved strategy.,bearish
