,Unnamed: 0.1,Unnamed: 0,timestamp,coin,proposal,proposal_type,initial_price,time_5_day,time_5_price,price_high,timestamp_high,percent_high,average_price,average_percent,category
1,1,1,2024-03-04 18:50:24+00:00,aave," Title: Proposal to Add gmBTC on Arbitrum Aave v3 Liquidity Pool

   Author: 0xlide - SaucyBlock, dated 2024-02-05

   Summary: The proposal aims to integrate gmBTC (a BTC-USD's Liquidity Token on the GMX V2) as a collateral asset in the Aave V3 Arbitrum Pool. This integration could potentially create new demand for borrowable assets on Aave V3. The parameters for gmETH and gmBTC are provided, with key features such as Collateral Enabled, Supply Cap, LTV, and Liquidation Bonus specified. The proposal progresses through ARFC stages if consensus is reached and risk service providers approve the risk parameters. The project details, GitHub, Docs, Audit, Twitter, Discord links are provided for reference.",bearish,114.14,2024-03-05 00:00:00+00:00,93.86,93.86,2024-03-05 00:00:00+00:00,-0.1776765375854214,115.80666666666666,0.0146019508206295,verySmall
8,8,8,2022-08-25 19:09:04+00:00,optimism," The ""DeFi"" Committee Formation Proposal is open for voting in Special Voting Cycle #5. Up to 4 committees will be approved for Season 2, with delegates encouraged to vote for their top 1-2 per category for diversity. For more details, visit the Governance Committees introduction at gov.optimism.io.",bearish,1.178,2022-08-27 00:00:00+00:00,0.989,0.989,2022-08-27 00:00:00+00:00,-0.1604414261460101,1.0733333333333333,-0.0888511601584606,verySmall
9,9,9,2022-08-17 19:18:37.068000+00:00,balancer," Balancer may develop tools to aid institutions in managing assets, addressing regulatory concerns associated with public pool usage.",bearish,6.52,2022-08-19 00:00:00+00:00,5.51,5.51,2022-08-19 00:00:00+00:00,-0.1549079754601226,6.1000000000000005,-0.0644171779141102,verySmall
10,10,10,2024-06-06 13:39:55.203000+00:00,venus," Orbiter Finance is a decentralized data communication service built on ZK-tech and Ethereum, enabling instant, secure, and efficient cross-rollup transactions of Ethereum-native assets. It supports multiple networks such as Ethereum, zkSync Era, Arbitrum, Optimism, Polygon, and more. With over 3.8 million users, 23 million transactions, and a daily transaction volume of over $22 million, Orbiter Finance aims to enhance user experiences and unlock new functionalities through its OpenAPI documentation. The team looks forward to collaborations on this exciting journey.",bearish,11.66,2024-06-07 00:00:00+00:00,9.56,9.56,2024-06-07 00:00:00+00:00,-0.1801029159519725,10.966666666666669,-0.0594625500285877,verySmall
17,17,17,2021-05-03 13:51:57.164000+00:00,makerdao," Blog post discusses the impact of artificial intelligence on various industries, citing examples and potential benefits such as increased efficiency and productivity. It also warns about potential risks like job displacement and privacy concerns, suggesting the need for regulation and ethical guidelines.",bearish,5981.71,2021-05-03 00:00:00+00:00,4911.17,4911.17,2021-05-03 00:00:00+00:00,-0.1789688901668586,5545.063333333334,-0.0729969635215792,verySmall
19,19,19,2024-03-14 20:03:32.529000+00:00,aave," Alphaday, a platform developed by Aave Grantees, offers a comprehensive solution for managing cryptocurrencies across devices. It features portfolio tracking, real-time market updates, personalized news and insights, and a customizable user interface. The platform consolidates various crypto sources into a single dashboard, making it easier to stay informed in the rapidly changing crypto space. Alphaday is free and highly customizable, allowing users to tailor their dashboard layout. Access Alphaday at [website link removed].",bearish,139.42,2024-03-16 00:00:00+00:00,116.1,116.1,2024-03-16 00:00:00+00:00,-0.1672643810070291,129.10333333333332,-0.0739970353368717,verySmall
25,25,25,2024-03-04 12:18:16.899000+00:00,balancer," Fringe Finance has launched its V2 platform, introducing features that benefit $BAL token holders. The new version offers leveraged trading (Margin Trade and Amplify), a dynamic interest rate model for higher yields, the ability to repay loans using collateral, expanded asset availability across multiple chains, and an incentive program to reward lenders. The incentive program is structured around TVL milestones, with rewards issued in FRIN tokens based on a lender's proportion of total interest earned. This program aims to stimulate adoption by offering triple rewards: from $BAL token growth, lender interest, and rewards from the program itself.",bearish,5.304,2024-03-05 00:00:00+00:00,4.488,4.488,2024-03-05 00:00:00+00:00,-0.1538461538461538,5.347666666666666,0.0082327802916036,verySmall
27,27,27,2021-11-25 19:34:40+00:00,pankcakeswap," The Wolfible Token distribution consists of 2 Million tokens, with 50% reserved for the Initial Farm Offering (IFO) on PancakeSwap, locked for 48 months and 30% for DAO. 25% is allocated for liquidity, farms, reward pools, and 10% each for marketing, team, and charity, with vesting periods. Wolfible is an NFT platform that aims to facilitate easy and affordable creation of NFTs, with a focus on community ownership through the native governance token $WOFT. For more information, visit the project's official channels: website, documentation, Twitter, and Telegram. To join the IFO on PancakeSwap, follow the provided guide.",bearish,14.42,2021-11-26 00:00:00+00:00,12.0,12.0,2021-11-26 00:00:00+00:00,-0.1678224687933426,13.463333333333331,-0.0663430420711974,verySmall
31,31,31,2022-03-17 03:44:21+00:00,pankcakeswap," The text discusses a proposal for Cake (CAKE) to expand its presence across multiple blockchain networks, such as Polygon, Ethereum, and Avalanche. This expansion involves making the Pancakeswap protocol accessible on these chains and offering CAKE tokens for purchase. The BNB Chain will continue to be the primary network with ongoing management and development, while cross-chain Pancakeswap aims to generate additional trading fees and boost CAKE token awareness. Additionally, the text suggests initial seed liquidity pools for CAKE on each new chain it enters.",bearish,6.75,2022-03-17 00:00:00+00:00,5.53,5.53,2022-03-17 00:00:00+00:00,-0.1807407407407407,6.526666666666667,-0.0330864197530863,verySmall
32,32,32,2022-05-04 07:36:03+00:00,aave," The community is requesting support to list sAVAX as a collateral asset, which is the Liquid Staking token from BENQI protocol on the Avalanche network. sAVAX allows users to unlock liquidity while participating in securing the Avalanche network and generates revenue through network validation rewards. It has over 3M sAVAX in circulation with deep liquidity in Automated Market Makers (AMMs) for a healthy lending market ecosystem.

BENQI is a Liquid Staking solution that allows users to stake AVAX to receive sAVAX, which then delegates the staked AVAX to nodes for network validation, generating approximately 7.20% APR. sAVAX can be redeemed back for AVAX after a 15 days cooldown period in a 2 days redemption window.

Using sAVAX as a collateralized asset on AAVE would increase interest earned on supplying and reduce the cost of borrowing due to its yield-bearing nature. It is integrated with various protocols like Anchor, Kyber, Trader Joe, Ribbon, and Platypus.

BENQI was launched in 2021 as DeFi activity on the Avalanche network grew, and it supports another layer of DeFi primitive, Liquid Staking. Over $200M is being staked via BENQI, with over $100M of liquidity across AMMs.

The asset currently used includes over 3M AVAX (~ $200M) being staked via BENQI and over $100M of liquidity across AMMs. sAVAX is integrated by protocols such as Anchor, Platypus, Ribbon Finance, More Money, Trade Joe, Kyber, and Pangolin.

The market cap of sAVAX is $168M, with a 24hr volume of $2.2M. It is listed on exchanges like Trader Joe, Kyber, and Pangolin. The number of transactions is 59,902, and the number of holders is 4,070.

The social channels data shows that BENQI has a Twitter following of 62.9k and a Telegram following of 13.35k. The contracts were deployed on January 27, 2022, with no emission schedule. sAVAX cannot be minted without staking AVAX in the contract, and a multisig is currently the owner of the minting contract, which belongs to BENQI's core team.

The architecture of sAVAX uses a pool share system, and the withdrawal and delegation process is protected in a hardened memory-only runtime environment with no remote access and extremely restricted physical access. The architecture is currently transitioning into a distributed, multi-party computational system to ensure security and consensus for transaction execution.",bearish,159.5,2022-05-06 00:00:00+00:00,132.8,132.8,2022-05-06 00:00:00+00:00,-0.167398119122257,146.4333333333333,-0.0819226750261234,verySmall
